seed,precision,recall,f1,mean_detection_delay_seconds,fp_intervals,fn_intervals
1,0.7,0.5833333333333334,0.6363636363636365,5.0,3,3
2,0.8,0.6666666666666666,0.7272727272727272,10.0,2,2
3,0.6923076923076923,0.75,0.7199999999999999,0.0,4,2
4,0.8571428571428571,0.5,0.631578947368421,10.0,1,3
5,0.8,0.6666666666666666,0.7272727272727272,0.0,2,3
