T,n_members,N_obs_mean,N_obs_std,observation.spread_mean_ticks.mean,observation.spread_mean_ticks.std,observation.spread_median_ticks.mean,observation.spread_median_ticks.std,observation.spread_p90_ticks.mean,observation.spread_p90_ticks.std,observation.spread_p99_ticks.mean,observation.spread_p99_ticks.std,observation.spread_max_ticks.mean,observation.spread_max_ticks.std,observation.final_spread_ticks.mean,observation.final_spread_ticks.std
30,30,68.36666666666666,13.688153840294007,6.100778960481602,3.5065427831884204,5.866666666666666,3.4998412662417833,9.996666666666666,5.406754006692823,11.385999999999997,5.709424139087934,11.7,5.657738063926254,8.833333333333334,6.419155361537494
60,30,140.4,20.110693672770214,8.474483367947938,4.630586077555928,8.216666666666667,5.369176431777555,14.240000000000002,6.0613309869477785,17.131666666666668,6.424948292053062,17.833333333333332,6.501709176995094,12.333333333333334,8.564785785736591
120,30,285.76666666666665,28.938651584957366,11.82365440697008,6.625572906817185,12.166666666666666,7.197607627229727,19.49666666666667,9.785039033590456,22.55566666666667,10.41309934116106,23.466666666666665,10.566403782218853,16.233333333333334,12.616611624714812
240,30,579.1,33.54434875404996,15.147229951757181,8.988872303741866,15.533333333333333,10.272076496772964,24.216666666666665,12.49928220161284,28.188000000000002,12.47263468558267,29.766666666666666,12.60868307512283,18.9,12.161003248087717
480,30,1173.8,49.15445045974983,18.223800422183437,9.785512862159031,17.633333333333333,11.326909944415064,31.48666666666667,13.603987977386963,37.958,14.439760016473036,40.266666666666666,14.438220881473667,27.8,20.12527432525248
960,30,2366.5666666666666,72.66162826569621,26.74038523386463,12.739751149207104,25.4,13.646977687385586,48.333333333333336,23.90862234053276,57.79966666666666,26.504978209553187,61.233333333333334,26.236975604838467,36.833333333333336,31.390108137578768
