T,n_members,N_obs_mean,N_obs_std,observation.spread_mean_ticks.mean,observation.spread_mean_ticks.std,observation.spread_median_ticks.mean,observation.spread_median_ticks.std,observation.spread_p90_ticks.mean,observation.spread_p90_ticks.std,observation.spread_p99_ticks.mean,observation.spread_p99_ticks.std,observation.spread_max_ticks.mean,observation.spread_max_ticks.std,observation.final_spread_ticks.mean,observation.final_spread_ticks.std
30,30,66.56666666666666,12.981225759620015,6.225748793626573,3.5607418285648316,6.166666666666667,4.006938426723768,10.123333333333333,5.2035682201948905,11.580999999999998,5.547998047344045,11.9,5.563871553753436,8.233333333333333,6.291175477515222
60,30,137.4,20.59385021472834,8.949454593450204,4.741082913755508,8.733333333333333,5.324054428305138,14.646666666666668,6.564740834353039,17.133333333333333,6.903061317673164,17.8,7.025667228100119,12.466666666666667,7.468749709437465
120,30,285.6333333333333,28.75005314004751,11.233001957856512,5.934631943246994,11.6,6.974238309665077,18.083333333333332,7.7664270349298254,21.43866666666667,7.699243570348683,22.466666666666665,7.579504527928517,14.366666666666667,11.350428283647373
